title,genre,budget,year,month
Doomsday,Action,30000000,2008,3
The Reader,Drama,32000000,2008,12
Wanderlust,Comedy,35000000,2012,2
Elf,Comedy,32000000,2003,10
Phenomenon,Drama,32000000,1996,7
Snow Dogs,Adventure,33000000,2002,1
Scrooged,Fantasy,0,1988,11
Nacho Libre,Comedy,32000000,2006,6
Bridesmaids,Comedy,32500000,2011,4
This Is the End,Action,32000000,2013,6
Stigmata,Horror,29000000,1999,9
Men of Honor,Drama,32000000,2000,9
Takers,Action,32000000,2010,8
The Big Wedding,Comedy,35000000,2013,4
"Big Mommas: Like Father, Like Son",Crime,32000000,2011,2
Source Code,Thriller,32000000,2011,3
Alive,Action,32000000,1993,1
The Number 23,Thriller,30000000,2007,2
The Young and Prodigious T.S. Spivet,Adventure,33000000,2013,10
1941,Action,35000000,1979,12
Dreamer: Inspired By a True Story,Drama,0,2005,9
A History of Violence,Drama,32000000,2005,9
Transporter 2,Action,32000000,2005,8
The Quick and the Dead,Action,32000000,1995,2
Laws of Attraction,Action,28000000,2004,4
Bringing Out the Dead,Drama,32000000,1999,10
Repo Men,Action,32000000,2010,3
Dragon Wars: D-War,Fantasy,70000000,2007,2
Bogus,Fantasy,32000000,1996,9
The Incredible Burt Wonderstone,Comedy,30000000,2013,3
Cats Don't Dance,Animation,32000000,1997,3
Cradle Will Rock,Drama,0,1999,12
The Good German,,32000000,2006,12
George and the Dragon,Adventure,32000000,2004,3
Apocalypse Now,Drama,31500000,1979,8
Going the Distance,Comedy,32000000,2010,9
Mr. Holland's Opus,,0,1995,12
Criminal,Action,31500000,2016,4
Out of Africa,Drama,31000000,1985,12
Flight,Drama,31000000,2012,11
Moonraker,Action,34000000,1979,6
The Grand Budapest Hotel,Comedy,30000000,2014,2
Hearts in Atlantis,Drama,31000000,2001,9
Arachnophobia,Comedy,31000000,1990,8
Frequency,Crime,31000000,2000,4
Vacation,Comedy,31000000,2015,7
Get Shorty,Comedy,30250000,1995,10
Chicago,Action,45000000,2002,12
Big Daddy,Comedy,34200000,1999,6
American Pie 2,Comedy,30000000,2001,8
Toy Story,Animation,30000000,1995,10
Speed,Action,30000000,1994,6
The Vow,Drama,30000000,2012,2
Extraordinary Measures,Drama,31000000,2010,1
Remember the Titans,Drama,30000000,2000,9
The Hunt for Red October,Action,30000000,1990,3
The Butler,Drama,25000000,2013,8
DodgeBall: A True Underdog Story,Comedy,20000000,2004,6
The Addams Family,Horror,30000000,1991,11
Ace Ventura: When Nature Calls,Crime,30000000,1995,11
The Princess Diaries,Comedy,37000000,2001,8
The First Wives Club,Comedy,26000000,1996,9
Se7en,Crime,33000000,1995,9
District 9,Science Fiction,30000000,2009,8
The SpongeBob SquarePants Movie,Animation,30000000,2004,11
Mystic River,Thriller,25000000,2003,10
Million Dollar Baby,Drama,30000000,2004,12
Analyze This,Comedy,80000000,1999,3
The Notebook,Romance,29000000,2004,6
27 Dresses,Comedy,30000000,2008,1
Hannah Montana: The Movie,Comedy,35000000,2009,4
Rugrats in Paris: The Movie,Adventure,30,2000,9
The Prince of Tides,Drama,30000000,1991,12
Legends of the Fall,Adventure,30000000,1994,12
Up in the Air,Drama,25000000,2009,9
About Schmidt,Drama,30000000,2002,12
Warm Bodies,Horror,35000000,2013,1
Looper,Action,30000000,2012,9
Down to Earth,Fantasy,0,2001,2
Babe,Fantasy,30000000,1995,7
Hope Springs,Drama,30000000,2012,8
Forgetting Sarah Marshall,Comedy,30000000,2008,4
Four Brothers,Action,45000000,2005,8
Baby Mama,Comedy,30000000,2008,4
Hope Floats,Drama,0,1998,5
Bride Wars,Comedy,30000000,2009,1
Without a Paddle,Action,19000000,2004,8
13 Going on 30,Comedy,37000000,2004,4
Midnight in Paris,Fantasy,30000000,2011,5
The Nut Job,Animation,0,2014,1
Blow,Crime,53000000,2001,4
Message in a Bottle,Romance,80000000,1999,2
Star Trek V: The Final Frontier,Science Fiction,30000000,1989,6
Like Mike,Comedy,30000000,2002,7
The Naked Gun 33⅓: The Final Insult,Comedy,30000000,1994,3
A View to a Kill,Adventure,30000000,1985,5
The Curse of the Were-Rabbit,Adventure,30000000,2005,9
P.S. I Love You,Drama,30000000,2007,11
Racing Stripes,Comedy,30000000,2005,1
Atonement,Drama,30000000,2007,8
Letters to Juliet,Comedy,30000000,2010,5
Black Rain,Action,30000000,1989,9
The Three Stooges,Comedy,30000000,2012,4
Corpse Bride,Romance,40000000,2005,9
Glory Road,Drama,0,2006,1
Sicario,Action,30000000,2015,9
Southpaw,Action,30000000,2015,6
Drag Me to Hell,Horror,30000000,2009,3
The Age of Adaline,Fantasy,25000000,2015,4
Secondhand Lions,Comedy,0,2003,9
Step Up 3D,Drama,30000000,2010,8
Blue Crush,Adventure,25000000,2002,8
Stranger Than Fiction,Comedy,30000000,2006,9
30 Days of Night,Horror,30000000,2007,10
The Cabin in the Woods,Horror,30000000,2012,4
Meet the Spartans,Comedy,30000000,2008,1
Midnight Run,Adventure,30000000,1988,7
The Running Man,Action,27000000,1987,11
Little Shop of Horrors,Horror,25000000,1986,12
Hanna,Action,30000000,2011,4
Mortal Kombat: Annihilation,Action,30000000,1997,11
Larry Crowne,Comedy,30000000,2011,6
Carrie,Drama,30000000,2013,10
Take the Lead,,30000000,2006,3
Gridiron Gang,Action,30000000,2006,9
What's the Worst That Could Happen?,Action,45000000,2001,5
9,Action,30000000,2009,8
Side Effects,Thriller,30000000,2013,2
The Prince & Me,Comedy,0,2004,3
Winnie the Pooh,Animation,30000000,2011,4
Dumb and Dumberer: When Harry Met Lloyd,Comedy,19000000,2003,6
Bulworth,Comedy,30000000,1998,5
Get on Up,Drama,0,2014,8
One True Thing,Drama,0,1998,9
Virtuosity,Action,30000000,1995,8
My Super Ex-Girlfriend,Fantasy,0,2006,6
Deliver Us from Evil,Thriller,30000000,2014,7
Sanctum,Action,30000000,2011,2
Little Black Book,Comedy,35000000,2004,8
The Five-Year Engagement,Comedy,30000000,2012,4
Mr. 3000,Comedy,30000000,2004,6
The Next Three Days,Romance,30000000,2010,11
Ultraviolet,Science Fiction,30000000,2006,3
Assault on Precinct 13,Thriller,30000000,2005,1
The Replacement Killers,Action,30000000,1998,2
Fled,Action,25000000,1996,7
Eight Legged Freaks,Action,0,2002,7
Love & Other Drugs,Drama,30000000,2010,11
88 Minutes,Crime,30000000,2007,2
North Country,Drama,35000000,2005,2
The Whole Ten Yards,Comedy,40000000,2004,4
Splice,Horror,26000000,2009,10
Howard the Duck,Comedy,37000000,1986,8
Pride and Glory,Thriller,30000000,2008,9
The Cave,Action,30000000,2005,8
Alex & Emma,Comedy,30000000,2003,6
Wicker Park,Drama,30000000,2004,9
Fright Night,Horror,17000000,2011,8
The New World,Drama,30000000,2005,12
Wing Commander,Action,30000000,1999,3
In Dreams,Drama,0,1999,1
Dragonball Evolution,Action,100000000,2009,4
The Last Stand,Action,30000000,2013,1
Godsend,Drama,25000000,2004,4
Chasing Liberty,Comedy,23000000,2004,1
Hoodwinked Too! Hood VS. Evil,Comedy,30000000,2011,4
An Unfinished Life,Drama,30000000,2005,9
The Imaginarium of Doctor Parnassus,Adventure,30000000,2009,10
Barney's Version,Comedy,30000000,2010,10
Runner Runner,Crime,30000000,2013,9
Antitrust,Action,30000000,2001,1
Glory,,18000000,1989,12
Once Upon a Time in America,Drama,30000000,1984,2
Dead Man Down,Thriller,0,2013,3
The Merchant of Venice,Drama,0,2004,9
The Good Thief,Crime,0,2003,4
Supercross,Action,0,2005,8
Miss Potter,Drama,30000000,2006,12
The Promise,Fantasy,0,2005,12
DOA: Dead or Alive,Adventure,21000000,2006,9
The Assassination of Jesse James by the Coward Robert Ford,Action,30000000,2007,9
1911,Adventure,30000000,2011,7
Little Nicholas,Comedy,0,2009,9
Wild Card,Thriller,30000000,2015,1
Machine Gun Preacher,Action,30000000,2011,9
Animals United,Animation,0,2010,10
Goodbye Bafana,,30000000,2007,2
United Passions,Drama,27000000,2014,6
Grace of Monaco,Romance,30000000,2014,5
Savva. Heart of the Warrior,Fantasy,30000000,2015,11
Ripley's Game,Crime,30000000,2002,9
Sausage Party,Adventure,19000000,2016,7
Pitch Perfect 2,Comedy,29000000,2015,5
Walk the Line,Drama,28000000,2005,9
Keeping the Faith,Comedy,30000000,2000,4
The Borrowers,Adventure,29000000,1997,12
Frost/Nixon,Drama,0,2008,10
Confessions of a Dangerous Mind,Comedy,30000000,2002,12
Serving Sara,Comedy,29000000,2002,8
The Boss,Comedy,29000000,2016,4
Cry Freedom,Drama,0,1987,11
Mumford,Comedy,0,1999,9
Seed of Chucky,Drama,12000000,2004,11
The Jacket,Drama,29000000,2005,3
Aladdin,Animation,28000000,1992,11
Straight Outta Compton,Drama,28000000,2015,8
Indiana Jones and the Temple of Doom,Adventure,28000000,1984,5
The Rugrats Movie,Animation,30000000,1998,11
Along Came a Spider,Crime,60000000,2001,4
Florence Foster Jenkins,Comedy,29000000,2016,5
Once Upon a Time in Mexico,Action,29000000,2003,9
Die Hard,Action,28000000,1988,7
Role Models,Comedy,28000000,2008,2
The Big Short,Comedy,28000000,2015,12
Taking Woodstock,,0,2009,9
Miracle,Drama,28000000,2004,2
Dawn of the Dead,Fantasy,28000000,2004,3
The Wedding Planner,Comedy,35000000,2001,1
Space Pirate Captain Harlock,Animation,30000000,2013,9
The Royal Tenenbaums,Comedy,21000000,2001,10
Identity,,30000000,2003,4
Last Vegas,Comedy,28000000,2013,10
For Your Eyes Only,Adventure,28000000,1981,6
Serendipity,Comedy,28000000,2001,10
Timecop,Thriller,27000000,1994,9
Zoolander,Comedy,28000000,2001,9
Safe Haven,Romance,28000000,2013,2
Hocus Pocus,Comedy,28000000,1993,7
No Reservations,Comedy,28000000,2007,7
Kick-Ass,Action,28000000,2010,3
30 Minutes or Less,Action,28000000,2011,8
Dracula 2000,Thriller,28000000,2000,12
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,28000000,2014,10
Pride & Prejudice,Drama,28000000,2005,9
Blade Runner,Science Fiction,28000000,1982,6
Rob Roy,Adventure,28000000,1995,4
3 Days to Kill,Action,28000000,2014,2
We Own the Night,Drama,21000000,2007,5
Lost Souls,Horror,0,2000,10
Winged Migration,,35866397,2001,12
Just My Luck,Comedy,28000000,2006,5
"Mystery, Alaska",Drama,28000000,1999,10
The Spy Next Door,Action,28000000,2010,1
A Simple Wish,Adventure,28000000,1997,7
Ghosts of Mars,Action,28000000,2001,8
Our Brand Is Crisis,Comedy,28000000,2015,9
Pride and Prejudice and Zombies,Romance,28000000,2016,2
Kundun,Drama,28000000,1997,12
How to Lose Friends & Alienate People,Comedy,27000000,2008,10
Kick-Ass 2,Action,28000000,2013,7
Alatriste,Action,24000000,2006,9
Brick Mansions,Action,28000000,2014,4
Octopussy,Adventure,27500000,1983,6
Knocked Up,Comedy,30000000,2007,6
My Sister's Keeper,Drama,30000000,2009,6
Welcome Home Roscoe Jenkins,Comedy,35000000,2008,2
A Passage to India,Drama,8000000,1984,12
Notes on a Scandal,Drama,15000000,2006,12
Rendition,Drama,27500000,2007,9
Star Trek VI: The Undiscovered Country,Science Fiction,27000000,1991,12
Divine Secrets of the Ya-Ya Sisterhood,Comedy,27000000,2002,6
Kiss the Girls,Drama,27000000,1997,10
The Blues Brothers,,27000000,1980,6
The Sisterhood of the Traveling Pants 2,Adventure,27000000,2008,8
Joyful Noise,Comedy,0,2012,1
About a Boy,Drama,27000000,2002,4
Lake Placid,Horror,27000000,1999,7
Lucky Number Slevin,Drama,27000000,2006,2
The Right Stuff,Drama,27000000,1983,10
Anonymous,Drama,30000000,2011,10
The NeverEnding Story,Drama,27000000,1984,4
Dark City,,27000000,1998,2
The Duchess,Drama,0,2008,9
Return to Oz,Adventure,25000000,1985,6
The Newton Boys,Crime,27000000,1998,3
Case 39,Horror,27000000,2009,8
Suspect Zero,Crime,27000000,2004,8
Martian Child,Drama,0,2007,11
Spy Kids: All the Time in the World,,27000000,2011,8
Money Monster,Thriller,27000000,2016,5
The 51st State,Thriller,28,2001,12
Flawless,Comedy,0,1999,11
Mindhunters,,27000000,2004,5
What Just Happened,Comedy,25000000,2008,10
The Statement,Drama,0,2003,12
The Magic Flute,Comedy,0,2006,9
Paul Blart: Mall Cop,Action,26000000,2009,1
Freaky Friday,Comedy,26000000,2003,8
The 40 Year Old Virgin,Comedy,26000000,2005,8
Shakespeare in Love,Romance,25000000,1998,12
A Walk Among the Tombstones,Crime,28000000,2014,9
Kindergarten Cop,Comedy,15000000,1990,12
Pineapple Express,Action,27000000,2008,8
Ever After: A Cinderella Story,Drama,26000000,1998,7
Open Range,,22000000,2003,8
Flatliners,Drama,26000000,1990,8
A Bridge Too Far,Drama,22000000,1977,6
Red Eye,Horror,26000000,2005,8
Final Destination 2,Horror,26000000,2003,1
"O Brother, Where Art Thou?",Action,26000000,2000,8
Legion,Horror,26000000,2010,1
Pain & Gain,Thriller,25000000,2013,4
In Good Company,Comedy,0,2004,12
Clockstoppers,Adventure,26000000,2002,3
Silverado,Action,26000000,1985,7
Brothers,Drama,26000000,2009,1
Agent Cody Banks 2: Destination London,Comedy,26000000,2004,12
New Year's Eve,Comedy,56000000,2011,12
Original Sin,Drama,42000000,2001,8
The Raven,Crime,26000000,2012,3
Welcome to Mooseport,Comedy,30000000,2004,2
Highlander: The Final Dimension,Action,26000000,1994,11
Blood and Wine,Crime,26000000,1996,10
Snow White: A Tale of Terror,Fantasy,26000000,1997,7
The Curse of the Jade Scorpion,Comedy,0,2001,8
Accidental Love,Romance,26000000,2015,2
Flipper,Adventure,25530000,1996,5
Self/less,Science Fiction,26000000,2015,7
The Constant Gardener,Drama,25000000,2005,8
The Passion of the Christ,Drama,30000000,2004,2
Mrs. Doubtfire,Comedy,25000000,1993,11
Rain Man,Drama,25000000,1988,12
Gran Torino,Drama,33000000,2008,12
W.,Drama,25100000,2008,10
Taken,Action,25000000,2008,2
The Best of Me,Drama,26000000,2014,10
The Bodyguard,Thriller,25000000,1992,11
Schindler's List,Drama,22000000,1993,11
The Help,Drama,25000000,2011,8
The Fifth Estate,Drama,28000000,2013,10
Scooby-Doo 2: Monsters Unleashed,,0,2004,3
Forbidden Kingdom,Thriller,26000000,2014,1
Freddy vs. Jason,Horror,30000000,2003,8
The Face of an Angel,Thriller,0,2014,9
Jimmy Neutron: Boy Genius,Action,25000000,2001,12
Cloverfield,Action,25000000,2008,1
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Science Fiction,25000000,1991,3
The Untouchables,Crime,25000000,1987,6
No Country for Old Men,Crime,25000000,2007,11
Ride Along,Action,25000000,2014,1
Bridget Jones's Diary,Comedy,25000000,2001,4
Chocolat,Comedy,25000000,2000,12
"Legally Blonde 2: Red, White & Blonde",Comedy,45000000,2003,7
Parental Guidance,Comedy,25000000,2012,12
No Strings Attached,Comedy,25000000,2011,1
Tombstone,Action,25000000,1993,12
Romeo Must Die,Action,25000000,2000,3
The Omen,Horror,2800000,1976,6
Final Destination 3,Horror,25000000,2006,2
The Lucky One,Drama,25000000,2012,4
Bridge to Terabithia,Adventure,60000000,2007,2
Finding Neverland,Drama,25000000,2004,10
A Madea Christmas,Comedy,0,2013,12
The Grey,Action,25000000,2012,1
Hide and Seek,Horror,25000000,2005,1
Anchorman: The Legend of Ron Burgundy,Comedy,26000000,2004,7
GoodFellas,Drama,25000000,1990,9
Agent Cody Banks,Action,28000000,2003,3
Nanny McPhee,Fantasy,25000000,2005,10
Scarface,Action,25000000,1983,12
Nothing to Lose,Action,25000000,1997,7
The Last Emperor,Drama,23000000,1987,10
Contraband,Thriller,25000000,2012,1
Money Talks,Action,0,1997,8
There Will Be Blood,Drama,25000000,2007,12
The Wild Thornberrys Movie,Animation,35000000,2002,12
Rugrats Go Wild,Animation,0,2003,6
Undercover Brother,Action,25000000,2002,5
The Sisterhood of the Traveling Pants,Drama,25000000,2005,6
Kiss of the Dragon,Action,25000000,2001,7
The House Bunny,Romance,25000000,2008,8
Beauty Shop,Comedy,25000000,2005,6
Million Dollar Arm,Drama,25000000,2014,5
The Giver,Drama,25000000,2014,8
What a Girl Wants,Comedy,0,2003,3
Jeepers Creepers 2,Horror,17000000,2003,8
Good Luck Chuck,Comedy,25000000,2007,9
Cradle 2 the Grave,Action,25000000,2003,2
The Hours,Drama,25000000,2002,12
She's the Man,Comedy,20000000,2006,3
Mr. Bean's Holiday,,25000000,2007,3
Anacondas: The Hunt for the Blood Orchid,Adventure,20000000,2004,8
Blood Ties,Thriller,25500000,2013,8
August Rush,Drama,25000000,2007,11
Elizabeth,Drama,30000000,1998,9
Bride of Chucky,Horror,25000000,1998,10
Tora! Tora! Tora!,,25485000,1970,1
Spice World,Adventure,25000000,1997,12
The Sitter,Comedy,25000000,2011,12
Dance Flick,Action,0,2009,5
The Shawshank Redemption,Drama,25000000,1994,9
Crocodile Dundee in Los Angeles,Adventure,21150000,2001,4
Kingpin,Comedy,27000000,1996,7
The Gambler,Thriller,25000000,2014,12
August: Osage County,Comedy,25000000,2013,12
Ice Princess,Drama,25000000,2005,3
A Lot Like Love,Comedy,30000000,2005,4
Eddie the Eagle,Comedy,23000000,2016,2
He Got Game,Drama,25000000,1998,5
Don Juan DeMarco,Romance,25000000,1994,10
Dear John,Drama,25000000,2010,2
The Losers,Action,25000000,2010,4
Don't Be Afraid of the Dark,Fantasy,25000000,2010,11
War,Action,25000000,2007,8
Punch-Drunk Love,Comedy,25000000,2002,10
EuroTrip,Comedy,25000000,2004,2
Half Past Dead,Crime,13000000,2002,11
Unaccompanied Minors,Comedy,26000000,2006,12
"Bright Lights, Big City",Drama,0,1988,4
The Adventures of Pinocchio,Animation,0,1996,7
The Greatest Game Ever Played,Drama,25000000,2005,9
The Box,Thriller,30000000,2009,9
The Ruins,Drama,8000000,2008,4
The Next Best Thing,Comedy,25000000,2000,3
My Soul to Take,Drama,25000000,2010,10
The Girl Next Door,Comedy,25000000,2004,4
Maximum Risk,Action,25000000,1996,9
Stealing Harvard,Action,0,2002,9
Legend,Crime,25000000,2015,9
Hot Rod,Action,0,2007,8
Shark Night,Horror,28000000,2011,9
Angela's Ashes,Drama,25,1999,12
Draft Day,Drama,25000000,2014,4
Lifeforce,Fantasy,25000000,1985,6
The Conspirator,Crime,25000000,2010,9
Lords of Dogtown,Drama,25000000,2005,6
The 33,Drama,25000000,2015,8
Big Trouble in Little China,Action,25000000,1986,5
Fly Me to the Moon,Comedy,0,2012,10
Warrior,Action,25000000,2011,9
Michael Collins,Drama,28000000,1996,10
Gettysburg,,0,1993,10
Stop-Loss,Drama,25000000,2008,3
Abandon,Drama,25000000,2002,10
Brokedown Palace,Drama,25000000,1999,8
The Possession,Horror,14000000,2012,8
Mrs. Winterbourne,Comedy,25000000,1996,4
Straw Dogs,Drama,25000000,2011,9
The Hoax,Comedy,25000000,2006,10
Stone Cold,Action,0,1991,5
The Road,Adventure,32000000,2009,11
Sheena,Action,25000000,1984,8
Underclassman,Action,0,2005,9
Say It Isn't So,Comedy,25000000,2001,3
The World's Fastest Indian,Drama,25000000,2005,10
Tank Girl,Action,25000000,1995,3
King's Ransom,Comedy,0,2005,4
Blindness,Drama,25000000,2008,5
BloodRayne,Action,25000000,2005,10
Carnage,Comedy,25000000,2011,9
Where the Truth Lies,Drama,25000000,2005,10
Cirque du Soleil: Worlds Away,Fantasy,0,2012,11
Without Limits,Drama,25000000,1998,9
Me and Orson Welles,Comedy,25000000,2009,11
The Best Offer,Drama,13500000,2013,1
The Bad Lieutenant: Port of Call - New Orleans,Drama,25000000,2009,9
A Turtle's Tale: Sammy's Adventures,Animation,0,2010,8
Little White Lies,Comedy,25000000,2010,10
Love Ranch,Drama,0,2010,6
The True Story of Puss 'n Boots,,0,2009,4
Space Dogs,,25000000,2010,3
The Counselor,Thriller,25000000,2013,10
Ironclad,Romance,25000000,2011,3
Waterloo,,25000000,1970,10
Kung Fu Jungle,Crime,25000000,2014,10
Red Sky,Action,25000000,2014,3
Dangerous Liaisons,Drama,14000000,1988,12
On the Road,Adventure,25000000,2012,5
Star Trek IV: The Voyage Home,Science Fiction,24000000,1986,11
Rocky Balboa,Drama,24000000,2006,12
Scream 2,Horror,24000000,1997,12
Jane Got a Gun,Action,25000000,2016,1
Think Like a Man Too,Comedy,24000000,2014,6
The Whole Nine Yards,Comedy,41300000,2000,2
Footloose,Drama,8200000,1984,2
Old School,Comedy,24000000,2003,2
The Fisher King,Comedy,24000000,1991,9
I Still Know What You Did Last Summer,Horror,65000000,1998,11
Return to Me,Romance,24000000,2000,4
Zack and Miri Make a Porno,Comedy,24000000,2008,9
Nurse Betty,Comedy,24000000,2000,9
The Men Who Stare at Goats,Comedy,24000000,2009,10
Double Take,Adventure,0,2001,1
"Girl, Interrupted",Drama,40000000,1999,12
Win a Date with Tad Hamilton!,Comedy,17000000,2004,1
Muppets from Space,Fantasy,24000000,1999,7
The Wiz,Adventure,24000000,1978,10
Ready to Rumble,Action,24000000,2000,4
Play It to the Bone,Comedy,24000000,1999,12
I Don't Know How She Does It,Romance,24000000,2011,9
Piranha 3D,Comedy,24000000,2010,8
Beyond the Sea,Drama,23000000,2004,12
Meet the Deedles,Animation,24000000,1998,3
The Thief and the Cobbler,Adventure,28000000,1993,9
The Bridge of San Luis Rey,Romance,0,2004,1
Faster,Crime,24000000,2010,11
Howl's Moving Castle,Fantasy,24000000,2004,11
Zombieland,Comedy,23600000,2009,10
The Waterboy,Comedy,23000000,1998,11
The Empire Strikes Back,Adventure,18000000,1980,5
Bad Boys,Action,19000000,1995,4
The Naked Gun 2½: The Smell of Fear,Comedy,23000000,1991,6
Final Destination,Horror,23000000,2000,3
The Ides of March,Drama,12500000,2011,9
Pitch Black,Thriller,23000000,2000,2
Someone Like You...,Comedy,23000000,2001,3
Her,Romance,23000000,2013,12
Joy Ride,,23000000,2001,10
The Adventurer: The Curse of the Midas Box,Fantasy,25000000,2013,12